segment_id,video_key,video_path,split,class_id,class_name,start_frame,end_frame,fps,n_frames
29,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,479,525,30.0,3796
30,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,764,849,30.0,3796
31,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,1052,1141,30.0,3796
32,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,1391,1480,30.0,3796
33,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,1481,1567,30.0,3796
34,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,2216,2266,30.0,3796
35,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,2418,2507,30.0,3796
36,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,2508,2582,30.0,3796
37,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,2778,2867,30.0,3796
38,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,2868,2908,30.0,3796
39,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,3103,3192,30.0,3796
40,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,3193,3282,30.0,3796
41,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,3283,3359,30.0,3796
42,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,3,Inspect Product,3488,3577,30.0,3796
43,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,177,229,30.0,3796
44,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,864,953,30.0,3796
45,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,1166,1255,30.0,3796
46,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,1256,1297,30.0,3796
47,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,1579,1668,30.0,3796
48,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,1669,1702,30.0,3796
49,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,2596,2685,30.0,3796
50,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,2686,2703,30.0,3796
51,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,2925,3014,30.0,3796
52,10_1,dataset\raw\Videos_MERL_Shopping_Dataset\10_1_crop.mp4,train,4,Inspect Shelf,3015,3045,30.0,3796
189,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,227,258,30.0,3752
190,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,683,713,30.0,3752
191,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,1257,1275,30.0,3752
192,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,1423,1458,30.0,3752
193,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,1460,1494,30.0,3752
194,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,2003,2022,30.0,3752
195,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,2176,2202,30.0,3752
196,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,2267,2286,30.0,3752
197,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,2419,2439,30.0,3752
198,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,2612,2631,30.0,3752
199,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,2958,2989,30.0,3752
200,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,1006,1043,30.0,3752
201,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,1332,1359,30.0,3752
202,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,1596,1638,30.0,3752
203,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,0,Reach to Shelf,2104,2173,30.0,3752
204,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,1056,1097,30.0,3752
205,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,1408,1422,30.0,3752
206,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,1639,1661,30.0,3752
207,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,2348,2369,30.0,3752
208,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,2505,2528,30.0,3752
209,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,292,326,30.0,3752
210,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,721,801,30.0,3752
211,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,1286,1303,30.0,3752
212,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,1497,1520,30.0,3752
213,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,2057,2076,30.0,3752
214,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,2633,2670,30.0,3752
215,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,1,Retract from Shelf,2990,3039,30.0,3752
216,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,2,Hand in Shelf,260,287,30.0,3752
217,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,2,Hand in Shelf,1361,1408,30.0,3752
218,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,2,Hand in Shelf,2026,2054,30.0,3752
219,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,2,Hand in Shelf,2202,2267,30.0,3752
220,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,2,Hand in Shelf,2287,2346,30.0,3752
221,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,2,Hand in Shelf,2443,2497,30.0,3752
222,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,327,350,30.0,3752
223,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,808,897,30.0,3752
224,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,898,987,30.0,3752
225,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,988,1002,30.0,3752
226,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,1128,1212,30.0,3752
227,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,1526,1589,30.0,3752
228,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,2078,2101,30.0,3752
229,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,2672,2758,30.0,3752
230,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,3041,3130,30.0,3752
231,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,3131,3220,30.0,3752
232,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,3221,3310,30.0,3752
233,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,3,Inspect Product,3311,3378,30.0,3752
234,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,360,449,30.0,3752
235,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,450,539,30.0,3752
236,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,540,629,30.0,3752
237,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,630,673,30.0,3752
238,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,2373,2413,30.0,3752
239,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,2529,2608,30.0,3752
240,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,2762,2851,30.0,3752
241,11_1,dataset\raw\Videos_MERL_Shopping_Dataset\11_1_crop.mp4,train,4,Inspect Shelf,2852,2941,30.0,3752
242,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,580,612,30.0,4779
243,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,1033,1063,30.0,4779
244,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,1281,1325,30.0,4779
245,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,1525,1554,30.0,4779
246,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,1775,1812,30.0,4779
247,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,2461,2487,30.0,4779
248,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,2975,3001,30.0,4779
249,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,3128,3148,30.0,4779
250,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,3254,3277,30.0,4779
251,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,3498,3536,30.0,4779
252,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,3925,3986,30.0,4779
253,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,4017,4039,30.0,4779
254,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,4229,4250,30.0,4779
255,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,698,748,30.0,4779
256,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,1682,1737,30.0,4779
257,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,2045,2111,30.0,4779
258,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,2721,2755,30.0,4779
259,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,0,Reach to Shelf,3048,3086,30.0,4779
260,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,757,805,30.0,4779
261,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,1439,1488,30.0,4779
262,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,1738,1774,30.0,4779
263,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,2112,2174,30.0,4779
264,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,2759,2776,30.0,4779
265,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,2892,2920,30.0,4779
266,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,3087,3105,30.0,4779
267,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,4142,4168,30.0,4779
268,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,4598,4627,30.0,4779
269,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,616,650,30.0,4779
270,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,1557,1604,30.0,4779
271,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,1817,1866,30.0,4779
272,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,2528,2573,30.0,4779
273,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,1,Retract from Shelf,3005,3048,30.0,4779
274,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,1072,1161,30.0,4779
275,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,1162,1251,30.0,4779
276,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,1252,1281,30.0,4779
277,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,1325,1414,30.0,4779
278,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,1415,1436,30.0,4779
279,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,2492,2524,30.0,4779
280,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,2782,2871,30.0,4779
281,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,2872,2892,30.0,4779
282,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3149,3238,30.0,4779
283,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3283,3372,30.0,4779
284,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3373,3462,30.0,4779
285,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3463,3498,30.0,4779
286,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3538,3627,30.0,4779
287,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3628,3717,30.0,4779
288,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3718,3807,30.0,4779
289,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3808,3897,30.0,4779
290,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3898,3924,30.0,4779
291,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,3984,4016,30.0,4779
292,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,4040,4129,30.0,4779
293,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,4254,4343,30.0,4779
294,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,4344,4433,30.0,4779
295,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,4434,4523,30.0,4779
296,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,2,Hand in Shelf,4524,4597,30.0,4779
297,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,3,Inspect Product,652,694,30.0,4779
298,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,3,Inspect Product,1607,1680,30.0,4779
299,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,3,Inspect Product,1870,1959,30.0,4779
300,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,3,Inspect Product,1960,2042,30.0,4779
301,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,3,Inspect Product,2574,2663,30.0,4779
302,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,3,Inspect Product,2664,2721,30.0,4779
303,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,263,352,30.0,4779
304,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,353,442,30.0,4779
305,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,443,532,30.0,4779
306,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,533,571,30.0,4779
307,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,808,897,30.0,4779
308,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,898,987,30.0,4779
309,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,988,1032,30.0,4779
310,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,1489,1524,30.0,4779
311,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,2921,2973,30.0,4779
312,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,3107,3127,30.0,4779
313,11_2,dataset\raw\Videos_MERL_Shopping_Dataset\11_2_crop.mp4,train,4,Inspect Shelf,4171,4227,30.0,4779
314,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,233,256,30.0,3791
315,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,473,510,30.0,3791
316,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,684,716,30.0,3791
317,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,1086,1119,30.0,3791
318,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,1385,1418,30.0,3791
319,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,1633,1650,30.0,3791
320,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,2234,2251,30.0,3791
321,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,2445,2477,30.0,3791
322,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,2569,2613,30.0,3791
323,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,2661,2707,30.0,3791
324,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,3082,3106,30.0,3791
325,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,0,Reach to Shelf,3164,3186,30.0,3791
326,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,306,346,30.0,3791
327,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,751,840,30.0,3791
328,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,1142,1189,30.0,3791
329,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,1421,1510,30.0,3791
330,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,1679,1734,30.0,3791
331,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,2262,2329,30.0,3791
332,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,2502,2566,30.0,3791
333,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,2616,2659,30.0,3791
334,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,2782,2813,30.0,3791
335,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,3112,3158,30.0,3791
336,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,1,Retract from Shelf,3187,3225,30.0,3791
337,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,2,Hand in Shelf,258,303,30.0,3791
338,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,2,Hand in Shelf,510,599,30.0,3791
339,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,2,Hand in Shelf,600,684,30.0,3791
340,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,2,Hand in Shelf,716,750,30.0,3791
341,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,2,Hand in Shelf,1120,1141,30.0,3791
342,11_3,dataset\raw\Videos_MERL_Shopping_Dataset\11_3_crop.mp4,train,2,Hand in Shelf,1651,1679,30.0,3791
